epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3371.06,0.19613,1.39595,0.00479,0.45355,0.43496,0.33035,0.10807,2.31298,3.4527,0.09384,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3475.26,0.19567,1.38797,0.00477,0.32933,0.55122,0.39366,0.13149,2.58386,1.89811,0.10514,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3579.96,0.19766,1.38142,0.00485,0.24992,0.39899,0.27845,0.09561,2.39053,3.35766,0.0969,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3684.89,0.19414,1.3779,0.00473,0.42128,0.50007,0.36056,0.11979,2.59403,3.54206,0.10565,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3790.03,0.19742,1.37424,0.00484,0.39517,0.58851,0.39586,0.15002,2.58064,2.45113,0.10491,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3895.36,0.19056,1.36591,0.00464,0.27665,0.54858,0.38427,0.15136,2.55783,2.31461,0.10383,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4000.44,0.19273,1.36428,0.00467,0.292,0.53633,0.39481,0.15514,2.55741,2.8828,0.10387,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4105.7,0.19309,1.35735,0.0047,0.41214,0.5085,0.37633,0.14711,2.48653,3.76299,0.10081,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4211.26,0.1898,1.35566,0.00461,0.48826,0.47413,0.41764,0.16181,2.52824,2.75882,0.10266,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4316.05,0.18876,1.3458,0.00461,0.49202,0.49327,0.43732,0.15642,2.48364,2.46908,0.10088,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4421.21,0.19142,1.34501,0.00466,0.4491,0.50963,0.43999,0.15354,2.20539,2.46931,0.08952,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4526.63,0.18943,1.33912,0.00462,0.43131,0.57043,0.45962,0.16058,2.55266,2.23734,0.10382,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4631.42,0.19023,1.33678,0.0046,0.36293,0.60206,0.46198,0.15892,2.59659,2.13661,0.10569,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4736.29,0.18543,1.32935,0.00448,0.31541,0.6303,0.44871,0.15487,2.55446,2.12699,0.10388,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4841.35,0.18573,1.31961,0.0045,0.31829,0.62519,0.45463,0.16136,2.55954,1.99181,0.10409,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4946.45,0.18329,1.31969,0.00443,0.30448,0.62253,0.42555,0.15637,2.50492,2.11678,0.1017,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5051.46,0.18113,1.30984,0.00439,0.40325,0.58508,0.37786,0.14857,2.45376,2.05904,0.09936,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5157.18,0.17998,1.31621,0.00435,0.40335,0.57066,0.37347,0.14778,2.37359,2.159,0.09603,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5262.63,0.1779,1.30515,0.00432,0.39313,0.58842,0.38566,0.15312,2.29588,2.30106,0.09283,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5368.32,0.17692,1.30431,0.00425,0.29232,0.61201,0.41222,0.16209,2.43661,2.2044,0.09857,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5474.11,0.17515,1.30068,0.00424,0.30943,0.63175,0.4273,0.16201,2.46595,2.34038,0.0998,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5579.68,0.17549,1.30186,0.00421,0.30555,0.64724,0.44163,0.15988,2.47244,2.41603,0.1001,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5685.29,0.17275,1.29586,0.00417,0.3036,0.65531,0.44718,0.15923,2.46675,2.48993,0.09988,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5790.79,0.17112,1.29344,0.00412,0.30783,0.65359,0.44499,0.15867,2.46128,2.53667,0.0996,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5895.94,0.16852,1.28702,0.00403,0.31545,0.64739,0.44673,0.15735,2.46517,2.58314,0.09966,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6000.92,0.16652,1.28511,0.00399,0.32025,0.65189,0.44968,0.15784,2.4726,2.6027,0.09991,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6106.39,0.16759,1.28131,0.00404,0.32116,0.66308,0.45253,0.15815,2.47683,2.55276,0.10007,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6211.7,0.16093,1.27457,0.00387,0.32203,0.66915,0.44915,0.15729,2.47162,2.53447,0.09982,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6316.42,0.16183,1.27166,0.00388,0.32625,0.67528,0.45368,0.15859,2.46829,2.47732,0.09969,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6421.42,0.16049,1.27283,0.00386,0.33102,0.66556,0.45698,0.16016,2.46285,2.47582,0.09951,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6525.97,0.15814,1.26916,0.00379,0.3329,0.66775,0.46051,0.16181,2.46396,2.44344,0.09955,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6630.32,0.15612,1.26878,0.00373,0.33351,0.67001,0.463,0.1631,2.46032,2.42107,0.09935,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6735.31,0.15411,1.26086,0.00369,0.33662,0.66872,0.46271,0.16536,2.45596,2.42786,0.09914,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6840.03,0.15387,1.25738,0.00368,0.34059,0.66399,0.46344,0.16734,2.45422,2.43131,0.09904,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6944.06,0.15045,1.25718,0.00359,0.3463,0.65514,0.46451,0.17123,2.45306,2.41838,0.09895,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7045.57,0.14776,1.2534,0.0035,0.35021,0.65236,0.46659,0.17372,2.45277,2.41094,0.09896,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7146.79,0.14546,1.2504,0.00348,0.35358,0.65153,0.46838,0.17682,2.45478,2.39951,0.09907,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7248.07,0.14505,1.24781,0.00346,0.35978,0.64401,0.47274,0.1804,2.4579,2.36049,0.09918,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7350.01,0.1417,1.24436,0.00337,0.36347,0.63864,0.47725,0.18337,2.46033,2.34711,0.09926,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7452.35,0.13963,1.24128,0.00333,0.36935,0.63151,0.4818,0.18576,2.46365,2.33299,0.09941,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7554.57,0.13911,1.2376,0.00329,0.37587,0.62511,0.48689,0.18845,2.46661,2.31611,0.09957,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7656.64,0.13581,1.22888,0.00324,0.37701,0.62804,0.49119,0.19062,2.46853,2.32203,0.09967,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7758.34,0.13604,1.22812,0.00321,0.38042,0.63168,0.49645,0.19319,2.47192,2.33046,0.09985,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7859.79,0.13253,1.2299,0.00312,0.38512,0.62857,0.50066,0.19567,2.4746,2.32717,0.1,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7961.76,0.13121,1.22761,0.0031,0.38926,0.62722,0.50459,0.19804,2.47837,2.32999,0.10018,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8063.5,0.12723,1.22091,0.00301,0.39189,0.62786,0.50831,0.19997,2.48217,2.3255,0.10033,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8164.64,0.12624,1.21834,0.00299,0.39617,0.62675,0.51064,0.2017,2.48613,2.31947,0.10049,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8266.63,0.12448,1.21712,0.00294,0.40145,0.62238,0.51232,0.20252,2.48766,2.31932,0.10055,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8368.77,0.12243,1.21354,0.00288,0.40385,0.62179,0.5138,0.20371,2.48853,2.32036,0.10059,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8470.58,0.11812,1.20501,0.00278,0.40872,0.62091,0.51621,0.20504,2.49141,2.32247,0.1007,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8572.68,0.11811,1.20818,0.00277,0.41428,0.61787,0.51897,0.20666,2.49489,2.32283,0.10085,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8674.45,0.11621,1.20823,0.00273,0.41551,0.61709,0.52079,0.20762,2.4985,2.31299,0.10101,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8776.37,0.11402,1.20541,0.00268,0.41959,0.61482,0.52226,0.20849,2.50238,2.31315,0.10118,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8878.57,0.11235,1.19983,0.00263,0.42265,0.61409,0.52415,0.20939,2.50556,2.30394,0.10132,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8979.82,0.11114,1.2044,0.0026,0.42436,0.61564,0.52534,0.20999,2.50608,2.2927,0.10136,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9081.64,0.1085,1.19887,0.00254,0.4246,0.61719,0.5261,0.21041,2.5067,2.27893,0.1014,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9183.83,0.10635,1.194,0.00247,0.42769,0.61868,0.52711,0.21086,2.5064,2.27129,0.1014,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9285.18,0.10189,1.19116,0.00238,0.43187,0.61531,0.52786,0.21114,2.50728,2.26823,0.10145,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9386.51,0.10163,1.18787,0.00236,0.43348,0.61536,0.52902,0.21163,2.50907,2.26098,0.10153,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9488.62,0.0919,0.87046,0.0038,0.43423,0.62018,0.5322,0.21292,2.51274,2.19183,0.10169,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9589.23,0.0773,0.84063,0.00316,0.43658,0.62206,0.53532,0.21416,2.51631,2.12163,0.10184,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9689.41,0.07278,0.82831,0.00295,0.43545,0.62587,0.53728,0.21493,2.52015,2.06576,0.10201,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9789.77,0.06944,0.81485,0.0028,0.43465,0.63271,0.53839,0.21533,2.52467,2.01803,0.10221,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9890.48,0.06384,0.80822,0.00254,0.4366,0.63152,0.53842,0.21525,2.52677,1.98148,0.10231,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9990.56,0.06239,0.80535,0.00247,0.43995,0.62771,0.53777,0.21496,2.52926,1.95392,0.10242,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10090.8,0.05784,0.79159,0.00228,0.43934,0.62831,0.53779,0.21494,2.53205,1.92428,0.10253,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10192.1,0.05627,0.80066,0.00219,0.44021,0.62956,0.53802,0.21495,2.53355,1.89799,0.10261,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10292.9,0.05149,0.78855,0.00201,0.44068,0.62936,0.53839,0.21507,2.53518,1.87185,0.1027,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10393.4,0.04945,0.77918,0.0019,0.44084,0.63287,0.53896,0.21526,2.53709,1.84503,0.1028,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
