epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5845.41,0.09354,1.0314,0.00406,0.49023,0.64002,0.57838,0.57794,0.20365,0.98203,0.00854,2.278e-05,2.278e-05,2.278e-05
41,6003.46,0.09155,1.02691,0.00397,0.49088,0.64404,0.57884,0.57841,0.20267,0.97858,0.00851,2.08e-05,2.08e-05,2.08e-05
42,6162.09,0.0887,1.02591,0.00383,0.49156,0.64642,0.57944,0.579,0.19812,0.97526,0.00831,1.882e-05,1.882e-05,1.882e-05
43,6303.2,0.08751,1.02506,0.00378,0.494,0.64049,0.57992,0.5795,0.19238,0.97296,0.00807,1.684e-05,1.684e-05,1.684e-05
44,6449.13,0.0869,1.02587,0.00376,0.4936,0.64325,0.58028,0.57986,0.1892,0.97115,0.00793,1.486e-05,1.486e-05,1.486e-05
45,6588.23,0.08583,1.02089,0.00371,0.49428,0.64354,0.58068,0.58021,0.18712,0.96988,0.00784,1.288e-05,1.288e-05,1.288e-05
46,6727.3,0.08389,1.01954,0.0036,0.49517,0.6424,0.5808,0.58038,0.18496,0.96896,0.00775,1.09e-05,1.09e-05,1.09e-05
47,6865.73,0.08309,1.01941,0.00356,0.49555,0.64383,0.58102,0.58058,0.18403,0.96828,0.00771,8.92e-06,8.92e-06,8.92e-06
48,7004.72,0.08271,1.01612,0.00356,0.49607,0.64364,0.58121,0.58079,0.18496,0.96785,0.00775,6.94e-06,6.94e-06,6.94e-06
49,7147.15,0.08256,1.01743,0.00355,0.49698,0.64301,0.58131,0.5809,0.18412,0.96735,0.00771,4.96e-06,4.96e-06,4.96e-06
50,7286.43,0.08285,1.01662,0.00356,0.49665,0.64341,0.58154,0.58112,0.18393,0.96709,0.0077,2.98e-06,2.98e-06,2.98e-06
